Day,Slope AC,Slope std dev AC,Slope 68% IC AC LOW,Slope 68% IC AC HIGH,Slope 95% IC AC LOW,Slope 95% IC AC HIGH,Slope 99.7% IC AC LOW,Slope 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,Intercept AC,Intercept std dev AC,Intercept 68% IC AC LOW,Intercept 68% IC AC HIGH,Intercept 95% IC AC LOW,Intercept 95% IC AC HIGH,Intercept 99.7% IC AC LOW,Intercept 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,R-value,P-value
190,5.231829525733616e-05,7.295127096734834e-06,4.502316816060133e-05,5.9613422354070994e-05,3.8019846147735886e-05,6.661674436693643e-05,3.225669574131537e-05,7.237989477335696e-05,1077.7820158928516,1069.312740161281,1086.3703349079583,7.295127096734834e-06,1086.3703276128313,1086.3703422030853,1086.3703206095092,1086.3703492064074,1086.3703148463587,1086.3703549695579,1077.7820158928516,1069.312740161281,0.39512745160134594,6.720208389621848e-12
191,5.3066489019369984e-05,7.35484786001198e-06,4.5711641159358004e-05,6.0421336879381964e-05,3.8650987213746505e-05,6.748199082499346e-05,3.284065740433704e-05,7.329232063440293e-05,1080.1914253984862,1072.2673994277905,1089.5813297794357,7.35484786001198e-06,1089.5813224245878,1089.5813371342836,1089.581315363934,1089.5813441949374,1089.5813095536041,1089.5813500052673,1080.1914253984862,1072.2673994277905,0.39714680096938115,5.1369405098136086e-12
192,5.382106641896376e-05,7.41304758507079e-06,4.640801883389297e-05,6.123411400403456e-05,3.929149315222501e-05,6.83506396857025e-05,3.3435185560019086e-05,7.420694727790843e-05,1082.6597271413004,1074.9387056049727,1092.0167860588056,7.41304758507079e-06,1092.016778645758,1092.0167934718531,1092.0167715292323,1092.0168005883788,1092.0167656729247,1092.0168064446864,1082.6597271413004,1074.9387056049727,0.3992366586983706,3.88254712938725e-12
193,5.456714422264314e-05,7.463890759625396e-06,4.7103253463017745e-05,6.203103498226854e-05,3.993791833377736e-05,6.919637011150891e-05,3.40414446336733e-05,7.509284381161298e-05,1085.0167162365346,1077.158145883553,1092.4621497996875,7.463890759625396e-06,1092.4621423357967,1092.4621572635783,1092.4621351704616,1092.4621644289134,1092.462129273988,1092.462170325387,1085.0167162365346,1077.158145883553,0.4015671828606303,2.834776404401822e-12
194,5.51386751705594e-05,7.488992647780373e-06,4.764968252277903e-05,6.262766781833977e-05,4.046024958090987e-05,6.981710076020893e-05,3.4543945389163375e-05,7.573340495195543e-05,1087.4257542044231,1079.242558953331,1093.1656065780749,7.488992647780373e-06,1093.1655990890822,1093.1656140670675,1093.1655918996494,1093.1656212565003,1093.1655859833452,1093.1656271728045,1087.4257542044231,1079.242558953331,0.4039500615716944,2.0499647370299245e-12
195,5.575503784663487e-05,7.517620528502052e-06,4.8237417318132815e-05,6.327265837513692e-05,4.102050161077085e-05,7.048957408249889e-05,3.5081581393254224e-05,7.642849430001552e-05,1089.5700645136465,1081.3769647925496,1093.218332206462,7.517620528502052e-06,1093.2183246888414,1093.2183397240826,1093.2183174719257,1093.2183469409983,1093.2183115330056,1093.2183528799185,1089.5700645136465,1081.3769647925496,0.4064226501765738,1.4604425045295051e-12
196,5.656924256472707e-05,7.580831281220482e-06,4.898841128350659e-05,6.415007384594756e-05,4.171081325353493e-05,7.142767187591922e-05,3.572195654137075e-05,7.74165285880834e-05,1091.1357565550709,1083.2269394785155,1095.9843560589984,7.580831281220482e-06,1095.984348478167,1095.9843636398298,1095.9843412005691,1095.9843709174277,1095.9843352117123,1095.9843769062845,1091.1357565550709,1083.2269394785155,0.40850381949419723,1.095442293404736e-12
197,5.742501187112674e-05,7.647536486818222e-06,4.977747538430852e-05,6.507254835794497e-05,4.243584035696303e-05,7.241418338529046e-05,3.639428653237663e-05,7.845573720987685e-05,1092.7380934135774,1085.3454608266563,1098.3198885345118,7.647536486818222e-06,1098.3198808869754,1098.3198961820483,1098.3198735453404,1098.3199035236833,1098.3198675037866,1098.3199095652371,1092.7380934135774,1085.3454608266563,0.4106355290375848,8.14255060164507e-13
198,5.823363742179726e-05,7.70643696417315e-06,5.052720045762411e-05,6.594007438597041e-05,4.3129020972017884e-05,7.333825387157663e-05,3.70409357703211e-05,7.942633907327343e-05,1094.1945198727565,1087.3766924159147,1100.0853079898175,7.70643696417315e-06,1100.0853002833805,1100.0853156962544,1100.085292885201,1100.085323094434,1100.0852867971157,1100.0853291825192,1094.1945198727565,1087.3766924159147,0.4127933508507575,6.01754306207863e-13
199,5.906916183473638e-05,7.765402294433666e-06,5.1303759540302716e-05,6.683456412917004e-05,4.3848973337646394e-05,7.428935033182637e-05,3.77143055250438e-05,8.042401814442897e-05,1095.5392735279254,1089.3239069287815,1100.7602936547478,7.765402294433666e-06,1100.7602858893456,1100.76030142015,1100.7602784345593,1100.7603088749363,1100.7602722998915,1100.760315009604,1095.5392735279254,1089.3239069287815,0.4150652660118212,4.366279457297067e-13
