Day,Slope SD,Slope std dev SD,Slope 68% IC SD LOW,Slope 68% IC SD HIGH,Slope 95% IC SD LOW,Slope 95% IC SD HIGH,Slope 99.7% IC SD LOW,Slope 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,Intercept SD,Intercept std dev SD,Intercept 68% IC SD LOW,Intercept 68% IC SD HIGH,Intercept 95% IC SD LOW,Intercept 95% IC SD HIGH,Intercept 99.7% IC SD LOW,Intercept 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,R-value,P-value
21,9.194016121721508e-09,9.529164399949477e-10,8.24109968172656e-09,1.0146932561716455e-08,7.32629989933141e-09,1.1061732344111606e-08,6.573495911735401e-09,1.1814536331707614e-08,0.0,0.0,-0.000645865222814462,9.529164399949477e-10,-0.000645866175730902,-0.000645864269898022,-0.0006458670905306844,-0.0006458633550982397,-0.000645867843334672,-0.000645862602294252,0.0,0.0,0.17077052314254373,1.0066001966265517e-21
22,-9.194016121721508e-09,9.529164399949477e-10,-1.0146932561716455e-08,-8.24109968172656e-09,-1.1061732344111606e-08,-7.32629989933141e-09,-1.1814536331707614e-08,-6.573495911735401e-09,-0.00010764420380241033,-5.8958801813048994e-05,0.000645865222814462,9.529164399949477e-10,0.000645864269898022,0.000645866175730902,0.0006458633550982397,0.0006458670905306844,0.000645862602294252,0.000645867843334672,-0.00010764420380241033,-5.8958801813048994e-05,-0.17077052314254373,1.0066001966265517e-21
23,9.194016121721508e-09,9.529164399949477e-10,8.24109968172656e-09,1.0146932561716455e-08,7.32629989933141e-09,1.1061732344111606e-08,6.573495911735401e-09,1.1814536331707614e-08,-1.5185910954274568e-05,0.0,-0.000645865222814462,9.529164399949477e-10,-0.000645866175730902,-0.000645864269898022,-0.0006458670905306844,-0.0006458633550982397,-0.000645867843334672,-0.000645862602294252,-1.5185910954274568e-05,0.0,0.17077052314254373,1.0066001966265517e-21
24,-9.194016121721508e-09,9.529164399949477e-10,-1.0146932561716455e-08,-8.24109968172656e-09,-1.1061732344111606e-08,-7.32629989933141e-09,-1.1814536331707614e-08,-6.573495911735401e-09,-0.00010764420380241033,5.9731961014926655e-05,0.000645865222814462,9.529164399949477e-10,0.000645864269898022,0.000645866175730902,0.0006458633550982397,0.0006458670905306844,0.000645862602294252,0.000645867843334672,-0.00010764420380241033,5.9731961014926655e-05,-0.17077052314254373,1.0066001966265517e-21
25,-3.1988566328554136e-10,3.0587982556087106e-09,-3.378683918894252e-09,2.738912592323169e-09,-6.315130244278614e-09,5.675358917707532e-09,-8.731580866209495e-09,8.091809539638413e-09,0.0,0.0,3.3691334528593635e-05,3.0587982556087106e-09,3.3688275730338023e-05,3.3694393326849246e-05,3.368533928401264e-05,3.369732977317463e-05,3.368292283339071e-05,3.369974622379656e-05,0.0,0.0,-0.0018785916511129836,0.9167167501135487
26,3.1988566328554136e-10,3.0587982556087106e-09,-2.738912592323169e-09,3.378683918894252e-09,-5.675358917707532e-09,6.315130244278614e-09,-8.091809539638413e-09,8.731580866209495e-09,5.615222421432272e-06,2.5916411175841256e-06,-3.3691334528593635e-05,3.0587982556087106e-09,-3.3694393326849246e-05,-3.3688275730338023e-05,-3.369732977317463e-05,-3.368533928401264e-05,-3.369974622379656e-05,-3.368292283339071e-05,5.615222421432272e-06,2.5916411175841256e-06,0.0018785916511129836,0.9167167501135487
27,-8.785671060927366e-12,9.67122658056556e-10,-9.759083291174835e-10,9.583369869956286e-10,-1.904346080851777e-09,1.8867747387299226e-09,-2.6683729807164563e-09,2.6508016385946018e-09,0.0,-3.4714440642388185e-05,0.00032340195413997505,9.67122658056556e-10,0.000323400987017317,0.0003234029212626331,0.00032340005857956524,0.00032340384970038486,0.0003233992945526654,0.0003234046137272847,0.0,-3.4714440642388185e-05,-0.00016318588344523674,0.9927524297763947
28,1.4697041895342373e-10,1.3679360319387315e-09,-1.2209656129853077e-09,1.5149064508921552e-09,-2.53418420364649e-09,2.8281250415533373e-09,-3.614853668878088e-09,3.908794506784935e-09,0.00016154452949240618,2.4877073395382697e-05,-1.5479373160738863e-05,1.3679360319387315e-09,-1.54807410967708e-05,-1.5478005224706925e-05,-1.5482054315361462e-05,-1.5476692006116264e-05,-1.5483134984826696e-05,-1.547561133665103e-05,0.00016154452949240618,2.4877073395382697e-05,0.0019299788335511794,0.9144472418765459
29,-1.3818474789249628e-10,9.671194853588663e-10,-1.1053042332513626e-09,8.2893473746637e-10,-2.033738939195874e-09,1.7573694434108814e-09,-2.7977633326293787e-09,2.521393836844386e-09,5.132043016320604e-05,2.368635238301817e-05,-0.0003079225809792362,9.671194853588663e-10,-0.00030792354809872156,-0.00030792161385975085,-0.0003079244765334275,-0.0003079206854250449,-0.00030792524055782097,-0.00030791992140065145,5.132043016320604e-05,2.368635238301817e-05,-0.002566656548727432,0.8863920252590872
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010764420380241033,-7.008881978895958e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010764420380241033,-7.008881978895958e-06,0.0,1.0
