Day,Slope SD,Slope std dev SD,Slope 68% IC SD LOW,Slope 68% IC SD HIGH,Slope 95% IC SD LOW,Slope 95% IC SD HIGH,Slope 99.7% IC SD LOW,Slope 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,Intercept SD,Intercept std dev SD,Intercept 68% IC SD LOW,Intercept 68% IC SD HIGH,Intercept 95% IC SD LOW,Intercept 95% IC SD HIGH,Intercept 99.7% IC SD LOW,Intercept 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,R-value,P-value
316,0.07200658423954408,0.004275232378638902,0.06773135186090518,0.07628181661818298,0.06362712877741183,0.08038603970167632,0.0602496951982871,0.08376347328080105,-0.20000702425460304,-0.19730547245807936,-0.27651383313354994,0.004275232378638902,-0.28078906551218885,-0.272238600754911,-0.2848932885956822,-0.2681343776714177,-0.2882707221748069,-0.26475694409229295,-0.20000702425460304,-0.19730547245807936,0.28958908164076486,5.643209126243169e-61
317,0.08516554265108599,0.004131475426984641,0.08103406722410135,0.08929701807807063,0.07706785081419609,0.09326323448797588,0.07380398522687823,0.09652710007529375,-0.22445340331311223,-0.2022029311015911,-0.33289889807764966,0.004131475426984641,-0.33703037350463433,-0.328767422650665,-0.34099658991453957,-0.32480120624075975,-0.3442604555018574,-0.3215373406534419,-0.22445340331311223,-0.2022029311015911,0.34725227668876707,1.3921595517635998e-88
318,0.05365795275770885,0.003315400408545952,0.0503425523491629,0.0569733531662548,0.04715976795695878,0.060156137558458916,0.04454060163420748,0.06277530388121022,-0.23721628446306556,-0.2137826994425693,-0.20714436995378085,0.003315400408545952,-0.2104597703623268,-0.2038289695452349,-0.21364255475453092,-0.2006461851530308,-0.21626172107728223,-0.19802701883027948,-0.23721628446306556,-0.2137826994425693,0.27916948832565747,1.277457918458215e-56
319,0.06070531690469633,0.003559237565925358,0.05714607933877097,0.06426455447062168,0.05372921127548262,0.06768142253391003,0.050917413598401594,0.07049322021099107,-0.24608093483048651,-0.21912267617434208,-0.23665895534556036,0.003559237565925358,-0.24021819291148572,-0.233099717779635,-0.24363506097477405,-0.22968284971634667,-0.2464468586518551,-0.22687105203926564,-0.24608093483048651,-0.21912267617434208,0.29293852562224293,2.0504518541091673e-62
320,0.03591490051890585,0.0025798145678331726,0.03333508595107268,0.03849471508673902,0.03085846396595283,0.04097133707185887,0.028820410457364623,0.043009390580447074,-0.27060533101683276,-0.22976653128682667,-0.1421749424003219,0.0025798145678331726,-0.1447547569681551,-0.13959512783248873,-0.14723137895327493,-0.1371185058473689,-0.14926943246186314,-0.1350804523387807,-0.27060533101683276,-0.22976653128682667,0.24260679113857736,8.867541243097812e-43
321,0.04835457245490942,0.0032985130504664356,0.04505605940444299,0.051653085505375854,0.04188948687599521,0.05481965803382363,0.039283661566126726,0.057425483343692116,-0.26508499852019085,-0.2300808368452321,-0.18888487917193778,0.0032985130504664356,-0.19218339222240421,-0.18558636612147134,-0.19534996475085198,-0.18241979359302357,-0.19795579006072048,-0.17981396828315507,-0.26508499852019085,-0.2300808368452321,0.25465345214956986,4.266324036415166e-47
322,0.10926827457172684,0.00461307729306691,0.10465519727865993,0.11388135186479376,0.1002266430773157,0.11830990606613799,0.09658231201579284,0.12195423712766085,-0.2307126463471334,-0.217026341588247,-0.4293169357105777,0.00461307729306691,-0.43393001300364464,-0.4247038584175108,-0.43835856720498884,-0.4202753042161666,-0.44200289826651173,-0.4166309731546437,-0.2307126463471334,-0.217026341588247,0.39152495716051944,3.856922837277707e-114
323,0.08847640253549713,0.0044092556431264895,0.08406714689237064,0.09288565817862361,0.0798342614749692,0.09711854359602505,0.07635094951689927,0.10060185555409498,-0.2561798301099714,-0.2318180737939228,-0.3459038754257748,0.0044092556431264895,-0.3503131310689013,-0.3414946197826483,-0.3545460164863027,-0.33726173436524687,-0.35802932844437263,-0.3337784224071769,-0.2561798301099714,-0.2318180737939228,0.33909860378309026,2.646814626202908e-84
324,0.06687185444095665,0.003856264726683249,0.0630155897142734,0.07072811916763991,0.059313575576657486,0.07443013330525582,0.05626712644257772,0.07747658243933558,-0.2583473263346589,-0.2484387135357136,-0.2579494812875127,0.003856264726683249,-0.261805746014196,-0.25409321656082945,-0.2655077601518119,-0.25039120242321355,-0.26855420928589163,-0.24734475328913377,-0.2583473263346589,-0.2484387135357136,0.2974098592188071,2.2879557007263825e-64
325,0.061331597112154385,0.004875298763183747,0.05645629834897064,0.06620689587533814,0.05177601153631424,0.07088718268799453,0.04792452551339908,0.07473866871090969,-0.2668148448902809,-0.2485639343133738,-0.2203618211215877,0.004875298763183747,-0.22523711988477144,-0.21548652235840396,-0.22991740669742783,-0.21080623554574757,-0.233768892720343,-0.20695474952283238,-0.2668148448902809,-0.2485639343133738,0.2204230207051839,1.966607387437168e-35
