Day,Slope FD,Slope std dev FD,Slope 68% IC FD LOW,Slope 68% IC FD HIGH,Slope 95% IC FD LOW,Slope 95% IC FD HIGH,Slope 99.7% IC FD LOW,Slope 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,Intercept FD,Intercept std dev FD,Intercept 68% IC FD LOW,Intercept 68% IC FD HIGH,Intercept 95% IC FD LOW,Intercept 95% IC FD HIGH,Intercept 99.7% IC FD LOW,Intercept 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,R-value,P-value
725,3.942991054943843e-07,5.322612936636182e-08,3.410729761280225e-07,4.475252348607461e-07,2.899758919363151e-07,4.986223190524535e-07,2.479272497368893e-07,5.406709612518793e-07,11.60252329141234,10.964646861082104,10.826170010161116,5.322612936636182e-08,10.826169956934987,10.826170063387245,10.826169905837903,10.826170114484329,10.82616986378926,10.82617015653297,11.60252329141234,10.964646861082104,0.40602994873802206,1.5415377536541748e-12
726,3.736452858096126e-07,3.9073391425844515e-08,3.345718943837681e-07,4.127186772354571e-07,2.970614386149573e-07,4.5022913300426784e-07,2.6619345938854013e-07,4.81097112230685e-07,12.104996010665827,11.259309002172673,5.634239575352106,3.9073391425844515e-08,5.634239536278715,5.634239614425498,5.63423949876826,5.634239651935953,5.63423946790028,5.6342396828039325,12.104996010665827,11.259309002172673,0.49751238260248626,6.472064344934496e-19
727,3.7070516161897254e-07,5.139316299681575e-08,3.193119986221568e-07,4.220983246157883e-07,2.6997456214521364e-07,4.7143576109273144e-07,2.2937396337772923e-07,5.120363598602158e-07,11.212907509880424,10.895371097373925,12.848875478135437,5.139316299681575e-08,12.848875426742273,12.8488755295286,12.848875377404838,12.848875578866036,12.84887533680424,12.848875619466634,11.212907509880424,10.895371097373925,0.39705178062324015,5.202505868957059e-12
728,6.854154363458605e-07,1.067542188572303e-07,5.786612174886302e-07,7.921696552030908e-07,4.761771673856891e-07,8.946537053060319e-07,3.918413344884772e-07,9.789895382032439e-07,11.024552916683824,10.99642537174728,13.265265801785159,1.067542188572303e-07,13.265265695030939,13.265265908539378,13.26526559254689,13.265266011023428,13.265265508211057,13.26526609535926,11.024552916683824,10.99642537174728,0.3593534932677638,5.851641814097879e-10
729,8.187717292974532e-07,1.3285557417579406e-07,6.859161551216591e-07,9.516273034732473e-07,5.58374803912897e-07,1.0791686546820095e-06,4.5341890031401954e-07,1.1841245582808869e-06,10.938612126915627,11.036925539252982,12.516455570208912,1.3285557417579406e-07,12.516455437353338,12.516455703064485,12.516455309811986,12.516455830605837,12.516455204856083,12.51645593556174,10.938612126915627,11.036925539252982,0.34669900106078483,2.501695245542855e-09
730,8.565377390852313e-07,1.1096458681729058e-07,7.455731522679407e-07,9.675023259025218e-07,6.390471489233418e-07,1.0740283292471208e-06,5.513851253376822e-07,1.1616903528327803e-06,11.11852173443774,11.015007553164272,10.396114898983488,1.1096458681729058e-07,10.3961147880189,10.396115009948074,10.396114681492897,10.396115116474078,10.396114593830873,10.396115204136102,11.11852173443774,11.015007553164272,0.4201183546694432,2.120695720414573e-13
731,8.166409982362612e-07,1.287123755149061e-07,6.879286227213551e-07,9.453533737511673e-07,5.643647422270453e-07,1.068917254245477e-06,4.626819655702695e-07,1.170600030902253e-06,10.914520222437703,11.009998878805066,12.651238927401124,1.287123755149061e-07,12.651238798688748,12.6512390561135,12.651238675124867,12.65123917967738,12.651238573442091,12.651239281360157,10.914520222437703,11.009998878805066,0.3556502633527181,9.011877595489497e-10
732,5.088336446205976e-07,4.80044192909181e-08,4.608292253296795e-07,5.568380639115157e-07,4.147449828103981e-07,6.02922306430797e-07,3.7682149157057285e-07,6.408457976706223e-07,11.218698375311037,11.365653846961644,7.241168694551082,4.80044192909181e-08,7.2411686465466625,7.241168742555501,7.241168600462419,7.241168788639744,7.241168562538928,7.241168826563235,11.218698375311037,11.365653846961644,0.5364943927874076,2.8553207781533297e-22
733,4.285417459472456e-07,4.173598237535589e-08,3.868057635718897e-07,4.702777283226015e-07,3.4673922049154807e-07,5.103442714029432e-07,3.137677944150169e-07,5.433156974794743e-07,11.486519895177532,11.321795000800943,6.440401172327325,4.173598237535589e-08,6.440401130591343,6.440401214063308,6.4404010905248,6.440401254129851,6.440401057553374,6.440401287101277,11.486519895177532,11.321795000800943,0.5243718170812294,3.5133351980537774e-21
734,7.086747247228157e-07,8.620368951160548e-08,6.224710352112101e-07,7.948784142344212e-07,5.397154932800689e-07,8.776339561655624e-07,4.716145785659006e-07,9.457348708797307e-07,10.418440844209515,10.97207427712885,11.941235702926743,8.620368951160548e-08,11.941235616723054,11.941235789130433,11.941235533967513,11.941235871885974,11.941235465866598,11.941235939986889,10.418440844209515,10.97207427712885,0.4422261740634267,7.781061215060335e-15
