Day,Slope FD,Slope std dev FD,Slope 68% IC FD LOW,Slope 68% IC FD HIGH,Slope 95% IC FD LOW,Slope 95% IC FD HIGH,Slope 99.7% IC FD LOW,Slope 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,Intercept FD,Intercept std dev FD,Intercept 68% IC FD LOW,Intercept 68% IC FD HIGH,Intercept 95% IC FD LOW,Intercept 95% IC FD HIGH,Intercept 99.7% IC FD LOW,Intercept 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,R-value,P-value
849,0.11379333886278545,0.0241464119954619,0.08964692686732355,0.13793975085824733,0.06646637135168013,0.16112030637389077,0.04739070587526523,0.18019597185030567,-0.6048076470728658,-0.6220867409819036,-0.5354286737735241,0.0241464119954619,-0.559575085768986,-0.5112822617780622,-0.5827556412846294,-0.4881017062624188,-0.6018313067610443,-0.46902604078600385,-0.6048076470728658,-0.6220867409819036,0.27198966359350635,3.869782033478507e-06
850,0.1256846277070532,0.02364601772058627,0.10203860998646691,0.14933064542763946,0.07933843297470411,0.17203082243940226,0.06065807897544094,0.19071117643866542,-0.5894717197015644,-0.6100581315156658,-0.6164964465088048,0.02364601772058627,-0.640142464229391,-0.5928504287882185,-0.6628426412411539,-0.5701502517764556,-0.681522995240417,-0.5514698977771925,-0.5894717197015644,-0.6100581315156658,0.3037279275028827,2.1887279564960087e-07
851,0.10493207946400698,0.019701953972946443,0.08523012549106054,0.12463403343695342,0.06631624967703195,0.14354790925098201,0.050751706038404266,0.1591124528896097,-0.5974459768074063,-0.611797143431996,-0.5514240605949766,0.019701953972946443,-0.5711260145679231,-0.5317221066220301,-0.5900398903819517,-0.5128082308080015,-0.6056044340205793,-0.4972436871693739,-0.5974459768074063,-0.611797143431996,0.3042837098890599,2.074789200816598e-07
852,0.08641487045831497,0.017360291515803473,0.0690545789425115,0.10377516197411844,0.05238869908734017,0.12044104182928977,0.03867406878985542,0.13415567212677454,-0.6010013560251266,-0.6130357945582794,-0.4417190138460132,0.017360291515803473,-0.4590793053618167,-0.4243587223302097,-0.475745185216988,-0.4076928424750384,-0.48945981551447276,-0.39397821217755363,-0.6010013560251266,-0.6130357945582794,0.28606811026155243,1.1300614819936164e-06
853,0.13654435181462393,0.022918474708299195,0.11362587710632474,0.15946282652292312,0.09162414138635751,0.18146456224289037,0.07351854636680115,0.1995701572624467,-0.5612736269804045,-0.5914442137858374,-0.7008001330639192,0.022918474708299195,-0.7237186077722184,-0.67788165835562,-0.7457203434921856,-0.6558799226356528,-0.763825938511742,-0.6377743276160964,-0.5612736269804045,-0.5914442137858374,0.3364900429438564,7.712300620178199e-09
854,0.12296938947528882,0.0225528825253839,0.10041650694990492,0.14552227200067272,0.07876573972553638,0.16717303922504126,0.0609489625304831,0.18498981642009454,-0.5729334869501072,-0.5964012558979991,-0.6137520334130003,0.0225528825253839,-0.6363049159383842,-0.5911991508876164,-0.6579556831627528,-0.5695483836632479,-0.675772460357806,-0.5517316064681946,-0.5729334869501072,-0.5964012558979991,0.3108209487634493,1.097085940437042e-07
855,0.1343618072359055,0.02528983981904833,0.10907196741685715,0.15965164705495383,0.08479372119057077,0.1839298932812402,0.06481474773352258,0.2039088667382884,-0.576603393533373,-0.5956911961731484,-0.648220629696773,0.02528983981904833,-0.6735104695158213,-0.6229307898777247,-0.6977887157421077,-0.5986525436514383,-0.7177676891991559,-0.57867357019439,-0.576603393533373,-0.5956911961731484,0.30360453764104844,2.2148272081515893e-07
856,0.1072784420995045,0.02249652370252905,0.08478191839697545,0.12977496580203354,0.06318525564254757,0.15137162855646144,0.045413001917549614,0.16914388228145938,-0.5954020528539145,-0.5951297594872467,-0.5179532970435113,0.02249652370252905,-0.5404498207460404,-0.4954567733409823,-0.5620464835004683,-0.4738601105865544,-0.5798187372254662,-0.45608785686155645,-0.5954020528539145,-0.5951297594872467,0.27498012791514476,2.996335196108199e-06
857,0.13114852487345113,0.023646721305049932,0.1075018035684012,0.15479524617850107,0.08480095111555327,0.177496098631349,0.06612004128456382,0.19617700846233843,-0.578978194609699,-0.586707379413568,-0.6657405499730719,0.023646721305049932,-0.6893872712781218,-0.6420938286680219,-0.7120881237309697,-0.619392976215174,-0.7307690335619592,-0.6007120663841845,-0.578978194609699,-0.586707379413568,0.3156327285338567,6.795573485352709e-08
858,0.09739514346988282,0.018682997770208685,0.07871214569967414,0.1160781412400915,0.060776467840273796,0.13401381909949184,0.046016899601808936,0.1487733873379567,-0.5980309428393815,-0.5941758137289003,-0.5045941722434345,0.018682997770208685,-0.5232771700136432,-0.4859111744732258,-0.5412128478730436,-0.4679754966138255,-0.5559724161115084,-0.4532159283753606,-0.5980309428393815,-0.5941758137289003,0.2984116211803738,3.629532386128269e-07
