Day,Slope AC,Slope std dev AC,Slope 68% IC AC LOW,Slope 68% IC AC HIGH,Slope 95% IC AC LOW,Slope 95% IC AC HIGH,Slope 99.7% IC AC LOW,Slope 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,Intercept AC,Intercept std dev AC,Intercept 68% IC AC LOW,Intercept 68% IC AC HIGH,Intercept 95% IC AC LOW,Intercept 95% IC AC HIGH,Intercept 99.7% IC AC LOW,Intercept 99.7% IC AC HIGH,S-Moving avrg 7 days AC,S-Moving avrg 14 days AC,R-value,P-value
845,0.25911153262802245,0.0010236245705850299,0.2580879080574374,0.26013515719860747,0.25710522846967576,0.26111783678636913,0.25629656505891363,0.26192650019713126,-1428.5844327067528,-1412.3212992392764,-1432.8390477821813,0.0010236245705850299,-1432.8400714067518,-1432.8380241576108,-1432.8410540863397,-1432.837041478023,-1432.8418627497504,-1432.8362328146122,-1428.5844327067528,-1412.3212992392764,0.9766608574597779,0.0
846,0.2597354691517825,0.0010241849560907385,0.2587112841956918,0.2607596541078733,0.2577280666378447,0.26174287166572036,0.256918960522533,0.26255197778103206,-1429.9094651221646,-1415.5867542396138,-1448.908993829682,0.0010241849560907385,-1448.9100180146381,-1448.9079696447259,-1448.911001232196,-1448.906986427168,-1448.9118103383112,-1448.9061773210528,-1429.9094651221646,-1415.5867542396138,0.9767444189202314,0.0
847,0.2599825028717031,0.0010239476209559508,0.2589585552507471,0.2610064504926591,0.2579755655346294,0.2619894402087768,0.25716664691407426,0.26279835882933195,-1433.1737769363415,-1419.8509860043644,-1452.7751303330297,0.0010239476209559508,-1452.7761542806506,-1452.7741063854087,-1452.7771372703667,-1452.7731233956927,-1452.7779461889872,-1452.772314477072,-1433.1737769363415,-1419.8509860043644,0.9767974519108571,0.0
848,0.2605026057157957,0.001023545207198005,0.2594790605085977,0.2615261509229937,0.2584964571096876,0.2625087543219038,0.25768785639600117,0.26331735503559023,-1438.1662966166296,-1424.5698055221396,-1446.1795541635802,0.001023545207198005,-1446.1805777087873,-1446.178530618373,-1446.1815603121863,-1446.177548014974,-1446.1823689129,-1446.1767394142603,-1438.1662966166296,-1424.5698055221396,0.9769043638039678,0.0
849,0.2609042430091066,0.0010233171766601532,0.25988092583244643,0.26192756018576674,0.2588985413428527,0.2629099446753605,0.2580901207732912,0.263718365244922,-1441.685974235378,-1429.0840773121117,-1452.1042447492,0.0010233171766601532,-1452.1052680663768,-1452.1032214320232,-1452.1062504508664,-1452.1022390475337,-1452.1070588714358,-1452.1014306269642,-1441.685974235378,-1429.0840773121117,0.9769828883538535,0.0
850,0.2616203952711134,0.0010360765821426508,0.26058431868897075,0.2626564718532561,0.2595896851701138,0.263651105372113,0.25877118467022114,0.2644696058720057,-1444.5063496540963,-1432.34362838394,-1468.6160759587074,0.0010360765821426508,-1468.6171120352894,-1468.6150398821253,-1468.6181066688084,-1468.6140452486063,-1468.6189251693083,-1468.6132267481064,-1444.5063496540963,-1432.34362838394,0.9765499784603848,0.0
851,0.2616734974843536,0.001036007217053098,0.2606374902673005,0.2627095047014067,0.2596429233389295,0.26370407162977766,0.2588244776374576,0.2645225173312496,-1450.2371744693967,-1436.9839051308593,-1467.6143162669541,0.001036007217053098,-1467.615352274171,-1467.6132802597372,-1467.6163468410996,-1467.6122856928087,-1467.617165286801,-1467.6114672471072,-1450.2371744693967,-1436.9839051308593,0.9765621921960249,0.0
852,0.26172281502566525,0.0010359670174396875,0.26068684800822556,0.26275878204310493,0.2596923196714835,0.263753310379847,0.2588739057277061,0.2645717243236244,-1456.0330525501922,-1441.5803045633731,-1467.5035273798894,0.0010359670174396875,-1467.504563346907,-1467.502491412872,-1467.5055578752435,-1467.5014968845353,-1467.5063762891873,-1467.5006784705915,-1456.0330525501922,-1441.5803045633731,0.9765724711607,0.0
853,0.2624375370718439,0.0010372140274581474,0.26140032304438576,0.2634747510993021,0.260404597578026,0.26447047656566186,0.259585198496334,0.26528987564735385,-1459.1321414752267,-1444.858356416464,-1496.3871360176709,0.0010372140274581474,-1496.3881732316984,-1496.3860988036433,-1496.3891689571647,-1496.385103078177,-1496.3899883562465,-1496.3842836790952,-1459.1321414752267,-1444.858356416464,0.9766412963706868,0.0
854,0.26273535530198483,0.0010372973244360782,0.26169805797754875,0.2637726526264209,0.26070225254609014,0.2647684580578795,0.2598827876597856,0.26558792294418404,-1466.4008090893337,-1450.0171266528523,-1502.5527132374518,0.0010372973244360782,-1502.5537505347763,-1502.5516759401273,-1502.5547463402077,-1502.550680134696,-1502.555565805094,-1502.5498606698097,-1466.4008090893337,-1450.0171266528523,0.9766887720940237,0.0
